Date,SCDATA.OnVentCum,SCDATA.OnVentCurr
2020-6-1,0,0
2020-6-2,0,0
2020-6-3,0,0
2020-6-4,0,0
2020-6-5,0,0
2020-6-6,0,0
2020-6-7,0,0
2020-6-8,0,0
2020-6-9,0,0
2020-6-10,0,0
2020-6-11,0,0
2020-6-12,0,0
2020-6-13,0,0
2020-6-14,0,0
2020-6-15,0,0
2020-6-16,0,0
2020-6-17,0,0
2020-6-18,0,0
2020-6-19,0,0
2020-6-20,0,0
2020-6-21,0,0
2020-6-22,0,0
2020-6-23,0,0
2020-6-24,0,0
2020-6-25,0,0
2020-6-26,0,0
2020-6-27,0,0
2020-6-28,0,0
2020-6-29,0,0
2020-6-30,0,0
2020-7-1,0,0
2020-7-2,0,0
2020-7-3,0,0
2020-7-4,0,0
2020-7-5,0,0
2020-7-6,0,0
2020-7-7,0,0
2020-7-8,0,0
2020-7-9,0,0
2020-7-10,0,0
2020-7-11,0,0
2020-7-12,0,0
2020-7-13,0,0
2020-7-14,0,0
2020-7-15,0,0
2020-7-16,0,0
2020-7-17,0,0
2020-7-18,0,0
2020-7-19,0,0
2020-7-20,0,0
2020-7-21,0,0
2020-7-22,0,0
2020-7-23,0,0
2020-7-24,0,263
2020-7-25,0,263
2020-7-26,0,263
2020-7-27,0,263
2020-7-28,0,256
2020-7-29,0,242
2020-7-30,0,245
2020-7-31,0,237
2020-8-1,0,235
2020-8-2,0,230
2020-8-3,0,224
2020-8-4,0,254
2020-8-5,0,270
2020-8-6,0,276
2020-8-7,0,231
2020-8-8,0,234
2020-8-9,0,219
2020-8-10,0,217
2020-8-11,0,207
2020-8-12,0,206
2020-8-13,0,201
2020-8-14,0,198
2020-8-15,0,181
2020-8-16,0,188
2020-8-17,0,175
2020-8-18,0,173
2020-8-19,0,164
2020-8-20,0,170
2020-8-21,0,160
2020-8-22,0,155
2020-8-23,0,150
2020-8-24,0,148
2020-8-25,0,144
2020-8-26,0,156
2020-8-27,0,144
2020-8-28,0,146
2020-8-29,0,145
2020-8-30,0,143
2020-8-31,0,136
2020-9-1,0,141
2020-9-2,0,145
2020-9-3,0,145
2020-9-4,0,140
2020-9-5,0,128
2020-9-6,0,129
2020-9-7,0,129
2020-9-8,0,118
2020-9-9,0,133
2020-9-10,0,127
2020-9-11,0,131
2020-9-12,0,131
2020-9-13,0,130
2020-9-14,0,123
2020-9-15,0,127
2020-9-16,0,136
2020-9-17,0,123
2020-9-18,0,125
2020-9-19,0,121
2020-9-20,0,123
2020-9-21,0,112
2020-9-22,0,105
2020-9-23,0,103
2020-9-24,0,106
2020-9-25,0,101
2020-9-26,0,99
2020-9-27,0,108
2020-9-28,0,108
2020-9-29,0,88
2020-9-30,0,95
2020-10-1,0,91
2020-10-2,0,95
2020-10-3,0,88
2020-10-4,0,72
2020-10-5,0,72
2020-10-6,0,87
2020-10-7,0,93
2020-10-8,0,94
2020-10-9,0,99
2020-10-10,0,93
2020-10-11,0,87
2020-10-12,0,87
2020-10-13,0,90
2020-10-14,0,91
2020-10-15,0,94
2020-10-16,0,98
2020-10-17,0,103
2020-10-18,0,97
2020-10-19,0,92
2020-10-20,0,92
2020-10-21,0,98
2020-10-22,0,91
2020-10-23,0,96
2020-10-24,0,97
2020-10-25,0,95
2020-10-26,0,93
2020-10-27,0,93
2020-10-28,0,95
2020-10-29,0,97
2020-10-30,0,93
2020-10-31,0,80
2020-11-1,0,93
2020-11-2,0,88
2020-11-3,0,104
2020-11-4,0,112
2020-11-5,0,102
2020-11-6,0,91
2020-11-7,0,89
2020-11-8,0,89
2020-11-9,0,101
2020-11-10,0,104
2020-11-11,0,97
2020-11-12,0,91
2020-11-13,0,89
2020-11-14,0,93
2020-11-15,0,86
2020-11-16,0,102
2020-11-17,0,106
2020-11-18,0,105
2020-11-19,0,108
2020-11-20,0,106
2020-11-21,0,90
2020-11-22,0,93
2020-11-23,0,92
2020-11-24,0,83
2020-11-25,0,108
2020-11-26,0,108
2020-11-27,0,119
2020-11-28,0,117
2020-11-29,0,117
2020-11-30,0,112
2020-12-1,0,84
2020-12-2,0,118
2020-12-3,0,111
2020-12-4,0,104
2020-12-5,0,110
2020-12-6,0,108
2020-12-7,0,108
2020-12-8,0,118
2020-12-9,0,128
2020-12-10,0,124
2020-12-11,0,124
2020-12-12,0,122
2020-12-13,0,129
2020-12-14,0,140
2020-12-15,0,111
2020-12-16,0,111
2020-12-17,0,113
2020-12-18,0,143
2020-12-19,0,148
2020-12-20,0,159
2020-12-21,0,165
2020-12-22,0,170
2020-12-23,0,142
2020-12-24,0,177
2020-12-25,0,177
2020-12-26,0,176
2020-12-27,0,177
2020-12-28,0,175
2020-12-29,0,189
2020-12-30,0,198
2020-12-31,0,199
2021-1-1,0,199
2021-1-2,0,214
2021-1-3,0,217
2021-1-4,0,215
2021-1-5,0,241
2021-1-6,0,247
2021-1-7,0,245
2021-1-8,0,251
2021-1-9,0,243
2021-1-10,0,250
2021-1-11,0,250
2021-1-12,0,270
2021-1-13,0,277
2021-1-14,0,290
2021-1-15,0,289
2021-1-16,0,291
2021-1-17,0,316
2021-1-18,0,317
2021-1-19,0,313
2021-1-20,0,307
2021-1-21,0,311
2021-1-22,0,311
2021-1-23,0,283
2021-1-24,0,274
2021-1-25,0,262
2021-1-26,0,279
2021-1-27,0,281
2021-1-28,0,286
2021-1-29,0,278
2021-1-30,0,261
2021-1-31,0,261
2021-2-1,0,240
2021-2-2,0,245
2021-2-3,0,238
2021-2-4,0,239
2021-2-5,0,232
2021-2-6,0,224
2021-2-7,0,224
2021-2-8,0,211
2021-2-9,0,208
2021-2-10,0,200
2021-2-11,0,195
2021-2-12,0,174
2021-2-13,0,174
2021-2-14,0,184
2021-2-15,0,173
2021-2-16,0,167
2021-2-17,0,162
2021-2-18,0,152
2021-2-19,0,151
2021-2-20,0,144
2021-2-21,0,144
2021-2-22,0,135
2021-2-23,0,126
2021-2-24,0,129
2021-2-25,0,128
2021-2-26,0,113
2021-2-27,0,109
2021-2-28,0,97
2021-3-1,0,88
2021-3-2,0,86
2021-3-3,0,86
2021-3-4,0,91
2021-3-5,0,88
2021-3-6,0,86
2021-3-7,0,83
