Date,ORDATA.InIcuCum,ORDATA.InIcuCurr
2020-6-1,0,33
2020-6-2,0,32
2020-6-3,0,29
2020-6-4,0,27
2020-6-5,0,40
2020-6-6,0,39
2020-6-7,0,39
2020-6-8,0,39
2020-6-9,0,43
2020-6-10,0,47
2020-6-11,0,40
2020-6-12,0,39
2020-6-13,0,47
2020-6-14,0,47
2020-6-15,0,47
2020-6-16,0,50
2020-6-17,0,50
2020-6-18,0,54
2020-6-19,0,46
2020-6-20,0,50
2020-6-21,0,50
2020-6-22,0,50
2020-6-23,0,48
2020-6-24,0,58
2020-6-25,0,59
2020-6-26,0,60
2020-6-27,0,53
2020-6-28,0,53
2020-6-29,0,53
2020-6-30,0,44
2020-7-1,0,42
2020-7-2,0,62
2020-7-3,0,52
2020-7-4,0,52
2020-7-5,0,52
2020-7-6,0,52
2020-7-7,0,61
2020-7-8,0,55
2020-7-9,0,57
2020-7-10,0,59
2020-7-11,0,56
2020-7-12,0,56
2020-7-13,0,56
2020-7-14,0,67
2020-7-15,0,64
2020-7-16,0,53
2020-7-17,0,63
2020-7-18,0,64
2020-7-19,0,64
2020-7-20,0,64
2020-7-21,0,70
2020-7-22,0,64
2020-7-23,0,61
2020-7-24,0,52
2020-7-25,0,58
2020-7-26,0,58
2020-7-27,0,58
2020-7-28,0,58
2020-7-29,0,58
2020-7-30,0,62
2020-7-31,0,66
2020-8-1,0,65
2020-8-2,0,65
2020-8-3,0,65
2020-8-4,0,62
2020-8-5,0,62
2020-8-6,0,60
2020-8-7,0,58
2020-8-8,0,51
2020-8-9,0,51
2020-8-10,0,51
2020-8-11,0,58
2020-8-12,0,59
2020-8-13,0,50
2020-8-14,0,57
2020-8-15,0,57
2020-8-16,0,57
2020-8-17,0,57
2020-8-18,0,47
2020-8-19,0,54
2020-8-20,0,51
2020-8-21,0,48
2020-8-22,0,47
2020-8-23,0,47
2020-8-24,0,47
2020-8-25,0,44
2020-8-26,0,53
2020-8-27,0,48
2020-8-28,0,53
2020-8-29,0,47
2020-8-30,0,47
2020-8-31,0,47
2020-9-1,0,43
2020-9-2,0,49
2020-9-3,0,45
2020-9-4,0,43
2020-9-5,0,45
2020-9-6,0,45
2020-9-7,0,45
2020-9-8,0,45
2020-9-9,0,44
2020-9-10,0,31
2020-9-11,0,40
2020-9-12,0,43
2020-9-13,0,43
2020-9-14,0,43
2020-9-15,0,32
2020-9-16,0,34
2020-9-17,0,39
2020-9-18,0,32
2020-9-19,0,32
2020-9-20,0,32
2020-9-21,0,32
2020-9-22,0,34
2020-9-23,0,42
2020-9-24,0,45
2020-9-25,0,40
2020-9-26,0,40
2020-9-27,0,40
2020-9-28,0,40
2020-9-29,0,44
2020-9-30,0,53
2020-10-1,0,48
2020-10-2,0,49
2020-10-3,0,48
2020-10-4,0,48
2020-10-5,0,48
2020-10-6,0,43
2020-10-7,0,55
2020-10-8,0,39
2020-10-9,0,39
2020-10-10,0,49
2020-10-11,0,49
2020-10-12,0,49
2020-10-13,0,55
2020-10-14,0,47
2020-10-15,0,50
2020-10-16,0,49
2020-10-17,0,44
2020-10-18,0,44
2020-10-19,0,44
2020-10-20,0,50
2020-10-21,0,57
2020-10-22,0,57
2020-10-23,0,55
2020-10-24,0,53
2020-10-25,0,53
2020-10-26,0,53
2020-10-27,0,49
2020-10-28,0,61
2020-10-29,0,62
2020-10-30,0,62
2020-10-31,0,61
2020-11-1,0,61
2020-11-2,0,61
2020-11-3,0,74
2020-11-4,0,66
2020-11-5,0,66
2020-11-6,0,62
2020-11-7,0,62
2020-11-8,0,62
2020-11-9,0,62
2020-11-10,0,64
2020-11-11,0,78
2020-11-12,0,77
2020-11-13,0,71
2020-11-14,0,70
2020-11-15,0,70
2020-11-16,0,70
2020-11-17,0,93
2020-11-18,0,102
2020-11-19,0,103
2020-11-20,0,107
2020-11-21,0,99
2020-11-22,0,99
2020-11-23,0,99
2020-11-24,0,119
2020-11-25,0,116
2020-11-26,0,118
2020-11-27,0,118
2020-11-28,0,123
2020-11-29,0,123
2020-11-30,0,123
2020-12-1,0,127
2020-12-2,0,120
2020-12-3,0,113
2020-12-4,0,122
2020-12-5,0,127
2020-12-6,0,127
2020-12-7,0,127
2020-12-8,0,128
2020-12-9,0,136
2020-12-10,0,139
2020-12-11,0,138
2020-12-12,0,136
2020-12-13,0,136
2020-12-14,0,136
2020-12-15,0,134
2020-12-16,0,119
2020-12-17,0,122
2020-12-18,0,120
2020-12-19,0,120
2020-12-20,0,116
2020-12-21,0,116
2020-12-22,0,131
2020-12-23,0,125
2020-12-24,0,125
2020-12-25,0,109
2020-12-26,0,109
2020-12-27,0,109
2020-12-28,0,109
2020-12-29,0,122
2020-12-30,0,127
2020-12-31,0,117
2021-1-1,0,119
2021-1-2,0,119
2021-1-3,0,119
2021-1-4,0,119
2021-1-5,0,107
2021-1-6,0,110
2021-1-7,0,118
2021-1-8,0,118
2021-1-9,0,92
2021-1-10,0,92
2021-1-11,0,92
2021-1-12,0,85
2021-1-13,0,103
2021-1-14,0,113
2021-1-15,0,108
2021-1-16,0,101
2021-1-17,0,101
2021-1-18,0,101
2021-1-19,0,101
2021-1-20,0,98
2021-1-21,0,96
2021-1-22,0,91
2021-1-23,0,83
2021-1-24,0,83
2021-1-25,0,83
2021-1-26,0,79
2021-1-27,0,78
2021-1-28,0,76
2021-1-29,0,73
2021-1-30,0,73
2021-1-31,0,73
2021-2-1,0,73
2021-2-2,0,68
2021-2-3,0,65
2021-2-4,0,71
2021-2-5,0,64
2021-2-6,0,61
2021-2-7,0,61
2021-2-8,0,61
2021-2-9,0,58
2021-2-10,0,57
2021-2-11,0,57
2021-2-12,0,54
2021-2-13,0,51
2021-2-14,0,51
2021-2-15,0,51
2021-2-16,0,51
2021-2-17,0,53
2021-2-18,0,52
2021-2-19,0,59
2021-2-20,0,56
2021-2-21,0,56
2021-2-22,0,56
2021-2-23,0,50
2021-2-24,0,49
2021-2-25,0,49
2021-2-26,0,40
2021-2-27,0,35
2021-2-28,0,35
2021-3-1,0,35
2021-3-2,0,33
2021-3-3,0,33
2021-3-4,0,37
2021-3-5,0,30
2021-3-6,0,32
2021-3-7,0,32
